paddle_left_x,paddle_left_y,ball_x,ball_y,paddle_right_x,paddle_right_y,frame
0,0,1,0,23,0,1
0,0,2,0,23,0,4
0,0,3,0,23,0,7
0,0,4,0,23,0,10
0,0,5,0,23,0,13
0,0,6,0,23,0,16
0,0,7,0,23,0,19
0,0,8,0,23,0,22
0,0,9,0,23,0,25
0,0,10,0,23,0,28
0,0,11,0,23,0,31
0,0,12,0,23,0,34
0,0,13,0,23,0,37
0,0,14,0,23,0,40
0,0,15,0,23,0,43
0,0,16,0,23,0,46
0,0,17,0,23,0,49
0,0,18,0,23,0,52
0,0,19,0,23,0,55
0,0,20,0,23,0,58
0,0,21,0,23,0,61
0,0,22,0,23,0,64
0,0,1,1,23,0,67
0,0,2,1,23,0,70
0,0,3,1,23,0,73
0,0,4,1,23,0,76
0,0,5,1,23,0,79
0,0,6,1,23,0,82
0,0,7,1,23,0,85
0,0,8,1,23,0,88
0,0,9,1,23,0,91
0,0,10,1,23,0,94
0,0,11,1,23,0,97
0,0,12,1,23,0,100
0,0,13,1,23,0,103
0,0,14,1,23,0,106
0,0,15,1,23,0,109
0,0,16,1,23,0,112
0,0,17,1,23,0,115
0,0,18,1,23,0,118
0,0,19,1,23,0,121
0,0,20,1,23,0,124
0,0,21,1,23,0,127
0,0,22,1,23,0,130
0,0,1,2,23,0,133
0,0,2,2,23,0,136
0,0,3,2,23,0,139
0,0,4,2,23,0,142
0,0,5,2,23,0,145
0,0,6,2,23,0,148
0,0,7,2,23,0,151
0,0,8,2,23,0,154
0,0,9,2,23,0,157
0,0,10,2,23,0,160
0,0,11,2,23,0,163
0,0,12,2,23,0,166
0,0,13,2,23,0,169
0,0,14,2,23,0,172
0,0,15,2,23,0,175
0,0,16,2,23,0,178
0,0,17,2,23,0,181
0,0,18,2,23,0,184
0,0,19,2,23,0,187
0,0,20,2,23,0,190
0,0,21,2,23,0,193
0,0,22,2,23,0,196
0,0,1,3,23,0,199
0,0,2,3,23,0,202
0,0,3,3,23,0,205
0,0,4,3,23,0,208
0,0,5,3,23,0,211
0,0,6,3,23,0,214
0,0,7,3,23,0,217
0,0,8,3,23,0,220
0,0,9,3,23,0,223
0,0,10,3,23,0,226
0,0,11,3,23,0,229
0,0,12,3,23,0,232
0,0,13,3,23,0,235
0,0,14,3,23,0,238
0,0,15,3,23,0,241
0,0,16,3,23,0,244
0,0,17,3,23,0,247
0,0,18,3,23,0,250
0,0,19,3,23,0,253
0,0,20,3,23,0,256
0,0,21,3,23,0,259
0,0,22,3,23,0,262
0,0,1,4,23,0,265
0,0,2,4,23,0,268
0,0,3,4,23,0,271
0,0,4,4,23,0,274
0,0,5,4,23,0,277
0,0,6,4,23,0,280
0,0,7,4,23,0,283
0,0,8,4,23,0,286
0,0,9,4,23,0,289
0,0,10,4,23,0,292
0,0,11,4,23,0,295
0,0,12,4,23,0,298
0,0,13,4,23,0,301
0,0,14,4,23,0,304
0,0,15,4,23,0,307
0,0,16,4,23,0,310
0,0,17,4,23,0,313
0,0,18,4,23,0,316
0,0,19,4,23,0,319
0,0,20,4,23,0,322
0,0,21,4,23,0,325
0,0,22,4,23,0,328
0,0,1,5,23,0,331
0,0,2,5,23,0,334
0,0,3,5,23,0,337
0,0,4,5,23,0,340
0,0,5,5,23,0,343
0,0,6,5,23,0,346
0,0,7,5,23,0,349
0,0,8,5,23,0,352
0,0,9,5,23,0,355
0,0,10,5,23,0,358
0,0,11,5,23,0,361
0,0,12,5,23,0,364
0,0,13,5,23,0,367
0,0,14,5,23,0,370
0,0,15,5,23,0,373
0,0,16,5,23,0,376
0,0,17,5,23,0,379
0,0,18,5,23,0,382
0,0,19,5,23,0,385
0,0,20,5,23,0,388
0,0,21,5,23,0,391
0,0,22,5,23,0,394
0,0,0,6,23,0,397
0,0,1,6,23,0,400
0,0,2,6,23,0,403
0,0,3,6,23,0,406
0,0,4,6,23,0,409
0,0,5,6,23,0,412
0,0,6,6,23,0,415
0,0,7,6,23,0,418
0,0,8,6,23,0,421
0,0,9,6,23,0,424
0,0,10,6,23,0,427
0,0,11,6,23,0,430
0,0,12,6,23,0,433
0,0,13,6,23,0,436
0,0,14,6,23,0,439
0,0,15,6,23,0,442
0,0,16,6,23,0,445
0,0,17,6,23,0,448
0,0,18,6,23,0,451
0,0,19,6,23,0,454
0,0,20,6,23,0,457
0,0,21,6,23,0,460
0,0,22,6,23,0,463
0,0,23,6,23,0,466
0,0,0,7,23,0,469
0,0,1,7,23,0,472
0,0,2,7,23,0,475
0,0,3,7,23,0,478
0,0,4,7,23,0,481
0,0,5,7,23,0,484
0,0,6,7,23,0,487
0,0,7,7,23,0,490
0,0,8,7,23,0,493
0,0,9,7,23,0,496
0,0,10,7,23,0,499
0,0,11,7,23,0,502
0,0,12,7,23,0,505
0,0,13,7,23,0,508
0,0,14,7,23,0,511
0,0,15,7,23,0,514
0,0,16,7,23,0,517
0,0,17,7,23,0,520
0,0,18,7,23,0,523
0,0,19,7,23,0,526
0,0,20,7,23,0,529
0,0,21,7,23,0,532
0,0,22,7,23,0,535
0,0,23,7,23,0,538
0,0,0,8,23,0,541
0,0,1,8,23,0,544
0,0,2,8,23,0,547
0,0,3,8,23,0,550
0,0,4,8,23,0,553
0,0,5,8,23,0,556
0,0,6,8,23,0,559
0,0,7,8,23,0,562
0,0,8,8,23,0,565
0,0,9,8,23,0,568
0,0,10,8,23,0,571
0,0,11,8,23,0,574
0,0,12,8,23,0,577
0,0,13,8,23,0,580
0,0,14,8,23,0,583
0,0,15,8,23,0,586
0,0,16,8,23,0,589
0,0,17,8,23,0,592
0,0,18,8,23,0,595
0,0,19,8,23,0,598
0,0,20,8,23,0,601
